City ID,City,Country,Date,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Wind Speed
3833367,Ushuaia,AR,1594598148,-54.8,-68.3,35.6,80,40,7.2
4231997,Avera,US,1594598440,33.19,-82.53,87.80000000000001,55,1,1.5
3372964,Lagoa,PT,1594598440,39.05,-27.98,68.61200000000005,80,0,6.48
2014624,Udachny,RU,1594598440,66.42,112.4,60.8,63,64,3.0
3870243,Taltal,CL,1594598440,-25.4,-70.48,55.16600000000001,80,25,1.33
902620,Mwinilunga,ZM,1594598306,-11.74,24.43,57.38000000000004,45,2,2.39
2075265,Busselton,AU,1594598404,-33.65,115.33,57.992,72,44,5.81
3443061,Chui,UY,1594598441,-33.7,-53.46,44.87000000000006,66,40,4.44
4030556,Rikitea,PF,1594598441,-23.12,-134.97,71.22200000000004,72,3,6.72
3369157,Cape Town,ZA,1594598195,-33.93,18.42,57.992,82,90,14.9
1214488,Meulaboh,ID,1594598441,4.14,96.13,76.424,78,100,0.93
2126123,Chokurdakh,RU,1594598441,70.63,147.92,70.30400000000006,45,61,4.32
2017155,Saskylakh,RU,1594598274,71.92,114.08,62.99600000000005,60,93,7.88
3466704,Castro,BR,1594598283,-24.79,-50.01,58.78399999999999,84,4,2.42
2729907,Longyearbyen,SJ,1594598441,78.22,15.64,44.88800000000005,77,86,0.62
3356832,Henties Bay,NA,1594598281,-22.12,14.28,55.004000000000055,93,0,4.43
2163355,Hobart,AU,1594598388,-42.88,147.33,44.00600000000003,87,75,2.1
2110227,Butaritari,KI,1594598337,3.07,172.79,83.71400000000003,75,64,5.31
2013399,Vikhorevka,RU,1594598441,56.12,101.16,64.4,59,15,2.0
2015306,Tiksi,RU,1594598442,71.69,128.87,64.14800000000002,52,74,3.78
5106841,Albany,US,1594598442,42.6,-73.97,82.99400000000009,56,10,2.43
1106677,Bambous Virieux,MU,1594598442,-20.34,57.76,71.6,83,75,6.2
2123814,Leningradskiy,RU,1594598442,69.38,178.42,43.32200000000004,70,57,5.25
2155415,New Norfolk,AU,1594598442,-42.78,147.06,44.00600000000003,91,0,0.75
2015352,Terney,RU,1594598442,45.05,136.61,64.86800000000008,72,83,1.41
5364271,Laguna,US,1594598243,38.42,-121.42,105.00800000000001,11,1,3.1
6201424,Mataura,NZ,1594598443,-46.19,168.86,42.944000000000074,86,86,1.78
1855891,Nakamura,JP,1594598443,32.98,132.93,75.25400000000005,85,100,2.55
3366880,Hermanus,ZA,1594598231,-34.42,19.23,57.992,73,44,8.05
3421765,Nanortalik,GL,1594598443,60.14,-45.24,46.59800000000003,87,100,1.49
2629833,Husavik,IS,1594598443,66.04,-17.34,51.8,93,40,1.5
3372707,Ribeira Grande,PT,1594598302,38.52,-28.7,68.70200000000008,83,2,7.01
3874787,Punta Arenas,CL,1594598267,-53.15,-70.92,33.8,84,72,6.2
5367788,Lompoc,US,1594598443,34.64,-120.46,73.99400000000009,60,0,7.2
2184904,Te Horo,NZ,1594598444,-40.81,175.12,53.99600000000005,78,59,2.3
1337616,Naifaru,MV,1594598444,5.44,73.37,83.03000000000004,70,47,1.23
5983720,Iqaluit,CA,1594598444,63.75,-68.51,59.0,62,75,5.1
1516048,Khovd,MN,1594598444,48.01,91.64,60.71000000000008,65,20,0.48
5954718,Flin Flon,CA,1594598444,54.77,-101.86,75.2,60,90,6.2
3883457,Lebu,CL,1594598444,-37.62,-73.65,48.36200000000006,90,100,3.98
2024848,Drovyanaya,RU,1594598444,51.58,113.03,60.8,93,40,1.0
3430863,Mar del Plata,AR,1594598444,-38.0,-57.56,42.8,56,1,5.7
2018735,Nyurba,RU,1594598444,63.28,118.33,61.71800000000009,96,100,1.5
2025630,Chara,RU,1594598444,56.91,118.26,78.65600000000003,44,78,0.68
245669,Adré,TD,1594598179,13.47,22.2,74.82200000000003,69,84,3.82
4032243,Vaini,TO,1594598357,-21.2,-175.2,73.4,73,75,7.7
2138555,Poum,NC,1594598237,-20.23,164.02,73.81400000000004,75,0,3.98
935215,Saint-Philippe,RE,1594598445,-21.36,55.77,64.4,68,40,2.1
57000,Hobyo,SO,1594598445,5.35,48.53,78.83600000000007,77,32,7.8
1015776,Bredasdorp,ZA,1594598293,-34.53,20.04,57.2,44,0,5.7
5122534,Jamestown,US,1594598445,42.1,-79.24,71.99600000000005,68,40,5.1
777019,Vardø,NO,1594598445,70.37,31.11,46.65200000000008,90,59,1.49
2126199,Cherskiy,RU,1594598310,68.75,161.3,54.518000000000086,89,100,1.26
575410,Boksitogorsk,RU,1594598368,59.47,33.85,52.37600000000009,94,100,1.01
2276492,Harper,LR,1594598299,4.38,-7.72,74.93000000000004,81,68,3.46
1540356,Raduzhny,RU,1594598446,62.1,77.47,56.983999999999995,81,30,3.16
358619,Port Said,EG,1594598446,31.26,32.28,78.26000000000008,80,0,5.63
2339631,Hadejia,NG,1594598446,12.45,10.04,78.674,72,23,5.33
2457161,Gao,ML,1594598446,16.64,1.64,91.86800000000008,31,68,4.14
6170031,Tuktoyaktuk,CA,1594598446,69.45,-133.04,57.2,67,75,3.6
5374920,Morro Bay,US,1594598446,35.37,-120.85,95.0,41,1,5.7
2229681,Lagdo,CM,1594598447,9.05,13.73,72.30200000000008,94,59,1.17
5856516,‘Āhuimanu,US,1594598447,21.44,-157.84,84.2,48,75,4.6
286621,Salalah,OM,1594598447,17.02,54.09,80.6,94,90,1.5
145531,Saurimo,AO,1594598447,-9.66,20.39,65.71400000000003,37,1,3.18
686090,Asău,RO,1594598447,46.43,26.4,53.00600000000003,87,100,1.99
2618795,Klaksvík,FO,1594598360,62.23,-6.59,50.0,93,100,7.2
4513583,Hamilton,US,1594598310,39.18,-84.53,77.0,69,1,2.6
1735106,George Town,MY,1594598447,5.41,100.34,80.6,94,20,2.1
1524243,Georgiyevka,KZ,1594598447,43.04,74.71,59.0,72,0,2.0
5880054,Barrow,US,1594598237,71.29,-156.79,39.2,80,90,3.1
1006984,East London,ZA,1594598448,-33.02,27.91,58.80200000000008,43,0,6.72
2074865,Carnarvon,AU,1594598410,-24.87,113.63,55.400000000000006,100,14,2.6
1852357,Shimoda,JP,1594598448,34.67,138.95,69.80000000000001,83,75,2.6
5329649,Blythe,US,1594598448,33.61,-114.6,118.4,11,75,2.6
2084442,Vanimo,PG,1594598276,-2.67,141.3,81.98600000000008,79,100,0.38
2020838,Lensk,RU,1594598448,60.73,114.93,66.99199999999999,75,99,2.06
2112309,Katsuura,JP,1594598239,35.13,140.3,71.99600000000005,79,100,0.45
546105,Nikolskoye,RU,1594598289,59.7,30.79,51.998000000000026,87,59,0.41
1529660,Aksu,CN,1594598448,41.12,80.26,71.29400000000007,39,6,1.42
2313084,Mangai,CD,1594598448,-4.05,19.53,72.26600000000002,90,100,0.72
1819729,Hong Kong,HK,1594598362,22.29,114.16,87.00800000000001,74,11,1.79
5866063,Kenai,US,1594598449,60.55,-151.26,57.992,76,90,4.1
2542997,Marrakesh,MA,1594598449,31.63,-8.01,84.2,42,20,2.1
6355222,Yulara,AU,1594598449,-25.24,130.99,41.0,61,0,3.6
3123493,Ferrol,ES,1594598449,43.48,-8.24,64.99400000000009,77,0,2.6
5861897,Fairbanks,US,1594598276,64.84,-147.72,71.6,35,20,3.41
1154677,Ban Tak,TH,1594598449,17.04,99.08,75.2,100,90,1.43
4031574,Provideniya,RU,1594598449,64.38,-173.3,48.2,81,40,7.0
1266746,Khetia,IN,1594598449,21.67,74.58,79.16000000000008,80,74,4.73
934479,Grand Gaube,MU,1594598449,-20.01,57.66,71.00600000000003,76,5,3.13
3985710,Cabo San Lucas,MX,1594598449,22.89,-109.91,98.60000000000001,27,75,7.7
2980915,Arrondissement de Saint-Denis,FR,1594598234,48.92,2.33,66.00200000000008,55,66,2.6
2381972,Adrar,MR,1594598449,20.5,-10.07,94.37000000000006,30,42,2.81
207596,Mweka,CD,1594598449,-4.85,21.57,67.64000000000001,88,78,0.95
2071860,Esperance,AU,1594598449,-33.87,121.9,46.4,65,2,8.7
2136825,Isangel,VU,1594598450,-19.55,169.27,78.80000000000001,69,75,5.1
1649150,Bengkulu,ID,1594598450,-3.8,102.27,74.55200000000008,88,71,1.36
2314302,Kinshasa,CD,1594597958,-4.32,15.32,77.0,69,40,3.54
2206939,Bluff,NZ,1594598450,-46.6,168.33,47.04800000000002,68,91,4.64
2394819,Cotonou,BJ,1594598450,6.37,2.42,77.0,94,20,3.6
4020109,Atuona,PF,1594598244,-9.8,-139.03,79.82600000000009,76,2,9.04
1529376,Korla,CN,1594598284,41.76,86.15,71.99600000000005,70,21,2.68
555681,Itum-Kale,RU,1594598450,42.74,45.58,64.958,57,90,2.91
3521972,Panabá,MX,1594598450,21.28,-88.27,80.51000000000008,84,52,4.21
3839307,Rawson,AR,1594598264,-43.3,-65.1,40.24400000000007,67,0,8.88
1180729,Dalbandin,PK,1594598451,28.89,64.41,79.37600000000009,21,0,3.76
3450083,Santa Maria,BR,1594598451,-29.68,-53.81,55.400000000000006,93,85,1.0
5973108,Hearst,CA,1594598451,49.68,-83.67,68.81000000000009,52,22,3.07
3423146,Ilulissat,GL,1594598451,69.22,-51.1,48.2,70,23,1.5
1507390,Dikson,RU,1594598451,73.51,80.55,41.48600000000007,97,98,2.23
5855927,Hilo,US,1594598312,19.73,-155.09,82.4,65,20,3.6
1626542,Sorong,ID,1594598247,-0.88,131.25,78.99800000000002,82,3,2.73
4570634,Bennettsville,US,1594598451,34.62,-79.68,89.99600000000005,62,40,1.91
3471451,Arraial do Cabo,BR,1594598251,-22.97,-42.03,72.98600000000008,78,69,7.01
123941,Mīnāb,IR,1594598451,27.15,57.08,93.2,63,75,2.1
6185377,Yellowknife,CA,1594598333,62.46,-114.35,69.99800000000002,52,75,2.1
3445026,Vila Velha,BR,1594598420,-20.33,-40.29,73.4,73,32,2.1
1015621,Brits,ZA,1594598451,-25.63,27.78,42.998000000000026,44,0,0.67
3831208,Qaanaaq,GL,1594598452,77.48,-69.36,45.91400000000003,63,82,1.4
962367,Richards Bay,ZA,1594598452,-28.78,32.04,57.038000000000046,69,0,5.16
1609070,Loei,TH,1594598452,17.42,101.5,75.2,100,75,1.5
2122605,Okhotsk,RU,1594598452,59.38,143.3,68.52200000000005,55,32,3.17
964432,Port Alfred,ZA,1594598345,-33.59,26.89,58.22600000000009,36,0,4.56
5866583,Saint Paul Harbor,US,1594598338,57.79,-152.41,57.2,67,90,6.2
6149374,Slave Lake,CA,1594598452,55.28,-114.77,66.2,48,20,10.3
469933,Vyyezdnoye,RU,1594598452,55.38,43.79,60.20600000000003,90,0,1.56
1714733,Dingle,PH,1594598452,11.0,122.67,81.69800000000004,81,92,1.12
1337617,Muli,MV,1594598452,2.92,73.57,83.84000000000003,67,82,1.69
122285,Neyshabur,IR,1594598452,36.21,58.8,70.55600000000004,27,14,0.33
895953,Zambezi,ZM,1594598452,-13.54,23.1,54.71600000000001,41,0,2.85
3533462,Acapulco de Juárez,MX,1594598169,16.86,-99.89,87.80000000000001,70,75,1.0
189741,Lamu,KE,1594598453,-2.27,40.9,77.108,78,30,8.23
5282297,Bethel,US,1594598454,41.37,-73.41,82.4,51,1,2.6
3939761,Hualmay,PE,1594598166,-11.1,-77.61,61.34000000000002,82,8,3.05
487498,Sterlibashevo,RU,1594598454,53.44,55.26,64.88600000000008,87,1,2.34
2070998,Geraldton,AU,1594598454,-28.77,114.6,53.6,62,75,6.2
5870133,Nome,US,1594598263,64.5,-165.41,68.0,72,1,4.6
3696417,Huánuco,PE,1594598454,-9.93,-76.24,61.196000000000055,65,34,1.27
509234,Pitkyaranta,RU,1594598454,61.57,31.48,53.11400000000003,86,60,1.06
174725,Vedi,AM,1594598454,39.91,44.72,68.0,77,75,1.0
5554428,Ketchikan,US,1594598358,55.34,-131.65,59.0,77,75,5.7
3832899,Viedma,AR,1594598454,-40.81,-63.0,41.66600000000001,63,0,6.4
69500,Zabid,YE,1594598454,14.2,43.32,88.89800000000002,50,75,2.85
7082481,Khuzdar,PK,1594598454,27.74,66.64,74.57000000000006,75,3,2.67
698740,Odesa,UA,1594598217,46.48,30.73,62.6,93,40,9.0
236901,Ouadda,CF,1594598454,8.08,22.4,67.55000000000001,93,86,1.03
1067565,Beloha,MG,1594598454,-25.17,45.05,63.35600000000003,83,61,2.31
505820,Povenets,RU,1594598454,62.85,34.83,53.16800000000009,82,89,0.22
2120591,Tilichiki,RU,1594598295,60.47,166.1,50.86400000000003,93,100,2.89
3680539,Cuaspud,CO,1594598455,0.86,-77.73,47.174000000000014,89,33,1.85
2079582,Alyangula,AU,1594598455,-13.85,136.42,73.4,53,47,4.6
1489828,Teeli,RU,1594598455,51.03,90.23,57.938000000000045,85,100,1.9
64814,Bandarbeyla,SO,1594598455,9.49,50.81,82.058,65,69,13.56
3466165,Cidreira,BR,1594598233,-30.18,-50.21,56.174000000000014,87,93,2.69
162099,Abadan,TM,1594598455,38.05,58.21,86.0,37,75,7.2
2643044,Margate,GB,1594598261,51.38,1.39,62.00600000000003,72,55,1.37
5101798,Newark,US,1594598312,40.74,-74.17,87.99800000000002,40,40,5.7
2112802,Hasaki,JP,1594598455,35.73,140.83,71.99600000000005,93,75,2.6
1816971,Baoding,CN,1594598455,38.85,115.49,75.97400000000002,75,17,2.3
4393739,Kirkwood,US,1594598455,38.58,-90.41,86.0,48,20,4.6
1283285,Jumla,NP,1594598284,29.27,82.18,57.57800000000007,68,40,1.01
3357114,Grootfontein,NA,1594598456,-19.57,18.12,38.87600000000009,69,0,1.07
2660355,Herzogenbuchsee,CH,1594598456,47.19,7.71,57.2,100,40,0.5
1151253,Phuket,TH,1594598456,8.0,98.25,80.00600000000003,94,20,4.13
2194098,Ahipara,NZ,1594598456,-35.17,173.17,60.35,82,37,5.08
6165406,Thompson,CA,1594598456,55.74,-97.86,73.4,56,75,3.1
1337607,Kudahuvadhoo,MV,1594598456,2.67,72.89,83.984,70,79,2.99
5576064,Craig,US,1594598418,40.52,-107.55,69.80000000000001,49,20,9.3
3361934,Saldanha,ZA,1594598456,-33.01,17.94,59.0,82,65,12.9
1257551,Samāstipur,IN,1594598456,25.85,85.78,80.54600000000005,88,67,2.93
2738381,Lata,PT,1594598456,40.16,-8.33,69.99800000000002,73,0,1.06
5972291,Havre-St-Pierre,CA,1594598457,50.23,-63.6,69.80000000000001,88,90,2.1
2798743,Engis,BE,1594598457,50.58,5.4,57.2,67,76,2.6
3652764,Puerto Ayora,EC,1594598457,-0.74,-90.35,68.0,89,81,3.17
1045114,Inhambane,MZ,1594598290,-23.86,35.38,59.72000000000006,75,8,2.93
5546220,Saint George,US,1594598457,37.1,-113.58,109.00400000000006,12,1,6.2
2038198,Chaihe,CN,1594598457,44.77,129.7,74.24600000000005,68,0,0.46
3402920,Careiro da Várzea,BR,1594598457,-3.2,-59.81,82.4,78,40,1.5
3893629,Coquimbo,CL,1594598457,-29.95,-71.34,55.400000000000006,82,59,2.34
3838859,Río Gallegos,AR,1594598161,-51.62,-69.22,33.8,80,40,8.7
3419842,Sisimiut,GL,1594598300,66.94,-53.67,51.08000000000004,62,81,5.36
2092164,Lorengau,PG,1594598457,-2.02,147.27,85.19000000000003,64,62,2.01
1502073,Krasnosel'kup,RU,1594598457,65.7,82.47,58.22600000000009,65,65,3.8
3869716,Tocopilla,CL,1594598457,-22.09,-70.2,57.398000000000025,71,28,0.95
1622318,Waingapu,ID,1594598458,-9.66,120.26,78.74600000000005,77,94,5.84
2022572,Khatanga,RU,1594598458,71.97,102.5,59.57600000000009,66,74,8.32
86049,Jalu,LY,1594598275,29.03,21.55,74.75,64,0,6.45
3161532,Birkeland,NO,1594598458,58.33,8.23,55.400000000000006,76,84,4.6
2122090,Pevek,RU,1594598261,69.7,170.31,49.208000000000006,70,69,2.75
2611060,Tvøroyri,FO,1594598458,61.56,-6.81,50.0,93,100,7.2
5848280,Kapaa,US,1594598294,22.08,-159.32,84.00200000000008,69,40,6.7
2338660,Yaan,NG,1594598458,7.38,8.57,72.93200000000002,95,89,3.49
2208248,Kaitangata,NZ,1594598458,-46.28,169.85,46.004000000000055,66,3,4.02
1259385,Port Blair,IN,1594598458,11.67,92.75,81.80600000000004,80,100,5.86
3985168,San Patricio,MX,1594598294,19.22,-104.7,87.80000000000001,74,40,6.2
1855540,Naze,JP,1594598459,28.37,129.48,86.0,89,75,3.6
2034615,Tahe,CN,1594598459,52.33,124.73,85.208,42,90,0.06
2181997,Takaka,NZ,1594598459,-40.85,172.8,51.998000000000026,90,58,1.34
934649,Cap Malheureux,MU,1594598265,-19.98,57.61,71.00600000000003,76,3,3.13
1568510,Rach Gia,VN,1594598459,10.02,105.08,81.68000000000004,79,100,1.47
102527,Sakakah,SA,1594598239,29.97,40.21,87.80000000000001,20,0,5.1
326206,Werota,ET,1594598459,11.92,37.7,61.79000000000002,90,95,0.42
2094342,Kavieng,PG,1594598459,-2.57,150.8,83.73200000000003,69,99,2.08
519168,Novki,RU,1594598460,56.36,41.08,62.276000000000096,92,0,1.95
3456642,Mozarlândia,BR,1594598460,-14.74,-50.57,75.70400000000006,45,10,1.46
4035715,Avarua,CK,1594598460,-21.21,-159.78,69.80000000000001,88,98,2.6
3381538,Grand-Santi,GF,1594598460,4.25,-54.38,74.10200000000009,96,99,1.11
111822,Yazd,IR,1594598460,31.9,54.37,87.80000000000001,20,40,1.0
556268,Ostrovnoy,RU,1594598460,68.05,39.51,47.714000000000034,91,100,3.4
1516589,Zhezkazgan,KZ,1594598460,47.8,67.71,76.08200000000002,54,0,4.32
964420,Port Elizabeth,ZA,1594598237,-33.92,25.57,62.6,29,0,5.1
1251081,Anuradhapura,LK,1594598460,8.36,80.42,77.50400000000005,85,100,4.45
1651810,Airai,TL,1594598234,-8.93,125.41,63.608000000000004,78,95,2.58
3418910,Upernavik,GL,1594598355,72.79,-56.15,41.791999999999994,87,94,4.36
2225991,Mora,CM,1594598461,11.05,14.14,76.334,77,39,1.81
3170622,Pisticci,IT,1594598461,40.39,16.56,73.99400000000009,57,0,1.34
2522437,Adeje,ES,1594598462,28.12,-16.73,75.00200000000008,78,0,4.1
6151264,Sooke,CA,1594598462,48.37,-123.73,66.99199999999999,57,6,3.13
1268561,Kākināda,IN,1594598462,16.93,82.22,82.184,81,100,1.92
80509,Al Bardīyah,LY,1594598275,31.76,25.09,73.34600000000006,85,0,7.98
4034551,Faanui,PF,1594598462,-16.48,-151.75,79.01600000000002,75,100,6.58
2155562,Nelson Bay,AU,1594598179,-32.72,152.15,51.00800000000001,93,40,5.1
5404476,Ukiah,US,1594598462,39.15,-123.21,96.8,16,1,5.7
3899539,Antofagasta,CL,1594598462,-23.65,-70.4,57.2,76,90,2.6
5911440,Burgeo,CA,1594598462,47.62,-57.62,61.610000000000085,96,100,4.84
2450173,Taoudenni,ML,1594598462,22.68,-3.98,94.82000000000006,33,42,2.83
3115824,Muros,ES,1594598462,42.78,-9.06,69.00800000000001,60,0,4.47
618387,Dnestrovsc,MD,1594598463,46.62,29.91,62.6,93,40,9.0
6113828,Provost,CA,1594598463,52.35,-110.27,67.15400000000005,67,75,4.73
1488903,Turukhansk,RU,1594598463,65.82,87.98,60.440000000000026,75,67,3.26
3894426,Coyhaique,CL,1594598463,-45.58,-72.07,33.8,80,20,2.6
1279405,Abirāmam,IN,1594598464,9.47,78.45,80.6,78,20,2.1
5563839,Fortuna,US,1594598464,40.6,-124.16,69.99800000000002,64,1,6.7
5742974,North Bend,US,1594598464,43.41,-124.22,77.0,72,1,10.8
5557293,Sitka,US,1594598260,57.05,-135.33,59.0,72,75,3.1
2364041,Tabligbo,TG,1594598464,6.58,1.5,75.2,88,20,2.1
3689979,Ambalema,CO,1594598464,4.78,-74.76,73.4,94,40,1.5
3424607,Tasiilaq,GL,1594598464,65.61,-37.64,39.2,86,0,3.6
6078372,Moose Factory,CA,1594598464,51.26,-80.61,59.0,82,90,3.6
3702269,Horconcitos,PA,1594598464,8.47,-81.8,70.53800000000004,94,100,0.81
1502257,Kozhevnikovo,RU,1594598464,56.26,83.97,62.99600000000005,89,100,2.78
3175096,Laas,IT,1594598464,46.62,10.7,53.6,81,5,0.58
933995,Souillac,MU,1594598464,-20.52,57.52,71.6,83,75,6.2
3119979,La Bañeza,ES,1594598464,42.3,-5.9,66.99199999999999,72,9,2.6
1735287,Bidor,MY,1594598465,4.11,101.29,73.00400000000005,94,40,3.6
924206,Phalombe,MW,1594598465,-15.81,35.65,58.78399999999999,89,58,2.3
1503153,Klyuchi,RU,1594598465,52.27,79.17,64.00400000000005,89,26,4.94
2122389,Ossora,RU,1594598465,59.24,163.07,55.616000000000014,85,100,4.21
1244926,Hambantota,LK,1594598465,6.12,81.12,80.56400000000004,81,97,6.98
2029156,Sühbaatar,MN,1594598465,50.23,106.21,67.91000000000008,69,60,0.45
3421193,Paamiut,GL,1594598465,61.99,-49.67,44.54600000000005,82,100,4.44
1631637,Pemangkat,ID,1594598299,1.17,108.97,77.30600000000004,86,69,2.06
343292,Āsosa,ET,1594598465,10.07,34.53,60.15200000000008,99,100,0.53
2025256,Chumikan,RU,1594598465,54.72,135.31,57.57800000000007,77,55,2.26
2179537,Wellington,NZ,1594597728,-41.29,174.78,51.998000000000026,71,33,6.2
2020871,Lebedinyy,RU,1594598465,58.52,125.52,82.41800000000009,40,58,1.53
3838233,Salta,AR,1594598355,-24.79,-65.41,59.0,54,0,3.1
1642858,Jambi City,ID,1594598466,-1.6,103.62,73.90400000000005,96,100,0.99
1650232,Banjar,ID,1594598325,-8.19,114.97,77.0,100,75,1.5
924732,Nkhata Bay,MW,1594598466,-11.61,34.29,70.01600000000002,69,52,4.27
1277330,Banganapalle,IN,1594598466,15.32,78.23,79.7,74,100,6.39
4656585,Sevierville,US,1594598466,35.87,-83.56,84.2,51,1,1.5
3416888,Grindavik,IS,1594598466,63.84,-22.43,50.0,93,90,3.1
1131162,Panjāb,AF,1594598466,34.39,67.02,48.90200000000008,60,0,1.54
6112608,Powell River,CA,1594598466,49.85,-124.54,66.99199999999999,59,75,4.6
1733432,Kota Kinabalu,MY,1594598466,5.97,116.07,78.80000000000001,83,20,2.6
